arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/async_redis.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/settings.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/sync_redis.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/cli/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/token_escaper.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/cli/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/data/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/data/builtin/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/schema/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/util.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/query_resolver.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/connections.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/cli/main.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/migrations/schema/base.py,arquivo,,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/checks.py,arquivo,,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
aredis_om/model/cli/index.py,arquivo,,4,18,13,19,22,32,83.0587,142.7018,2.1111,301.2594,16.7366,0.0476
aredis_om/model/types.py,arquivo,,6,19,13,21,25,34,96.2204,157.8911,3.3158,523.5337,29.0852,0.0526
aredis_om/model/render_tree.py,arquivo,,6,17,11,22,23,33,84.9966,149.2775,3.8824,579.5481,32.1971,0.0498
aredis_om/redisvl.py,arquivo,,5,32,18,35,37,53,171.6096,276.101,2.7344,754.9637,41.9424,0.092
aredis_om/model/migrations/schema/legacy_migrator.py,arquivo,,8,22,13,24,30,37,122.1075,181.555,4.3636,792.2398,44.0133,0.0605
aredis_om/model/migrations/data/base.py,arquivo,,7,27,18,35,34,53,148.0334,269.6355,4.537,1223.3464,67.9637,0.0899
aredis_om/model/cli/migrate.py,arquivo,,5,49,36,53,54,89,286.7304,512.185,2.7041,1384.99,76.9439,0.1707
aredis_om/model/encoders.py,arquivo,,7,44,27,51,51,78,259.8665,442.4492,4.0568,1794.9359,99.7187,0.1475
aredis_om/model/migrations/schema/migrator.py,arquivo,,8,44,26,48,52,74,264.215,421.8325,4.3636,1840.7238,102.2624,0.1406
aredis_om/model/cli/migrate_data.py,arquivo,,7,52,37,55,59,92,316.0743,541.2032,3.7019,2003.4925,111.3051,0.1804
aredis_om/model/migrations/data/migrator.py,arquivo,,12,60,36,67,72,103,397.433,635.5023,6.7,4257.8652,236.5481,0.2118
aredis_om/model/migrations/data/builtin/datetime_migration.py,arquivo,,17,140,87,162,157,249,1067.5865,1816.3606,9.8357,17865.2036,992.5113,0.6055
aredis_om/model/model.py,arquivo,,17,623,402,742,640,1144,5852.8509,10664.2857,10.1236,107960.9152,5997.8286,3.5548
