arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/checks.py,funcao,check_for_command,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/checks.py,funcao,has_redis_json,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/checks.py,funcao,has_redisearch,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/connections.py,funcao,get_redis_connection,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/redisvl.py,funcao,_get_field_type,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
aredis_om/redisvl.py,funcao,_get_vector_field_def,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
aredis_om/redisvl.py,funcao,_get_numeric_field_def,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/redisvl.py,funcao,_get_string_field_def,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
aredis_om/redisvl.py,funcao,_get_container_field_def,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
aredis_om/redisvl.py,funcao,to_redisvl_schema,4,10,5,10,14,15,41.2193,57.1103,2.0,114.2206,6.3456,0.019
aredis_om/redisvl.py,funcao,get_redisvl_index,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/settings.py,funcao,get_root_migrations_dir,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/util.py,funcao,is_async_mode,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/util.py,funcao,is_numeric_type,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/util.py,funcao,has_numeric_inner_type,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/cli/main.py,funcao,om,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/encoders.py,funcao,generate_encoders_by_class_tuples,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/encoders.py,funcao,_normalize_include_exclude,3,9,6,10,12,16,33.2842,57.3594,1.6667,95.599,5.3111,0.0191
aredis_om/model/encoders.py,funcao,_encode_pydantic_model,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/encoders.py,funcao,_encode_dict,6,23,14,27,29,41,119.5517,199.1772,3.5217,701.4502,38.9695,0.0664
aredis_om/model/encoders.py,funcao,_encode_iterable,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/encoders.py,funcao,_apply_custom_encoder,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/encoders.py,funcao,_apply_builtin_encoder,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/encoders.py,funcao,_encode_fallback_object,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/encoders.py,funcao,jsonable_encoder,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
aredis_om/model/model.py,funcao,supports_hash_field_expiration,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,convert_datetime_to_timestamp,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_unwrap_optional_type,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
aredis_om/model/model.py,funcao,_get_model_field_type,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_is_redis_model_type,1,3,1,3,4,4,4.7549,8.0,0.5,4.0,0.2222,0.0027
aredis_om/model/model.py,funcao,_get_list_inner_type,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_convert_timestamp_scalar,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,_convert_timestamp_dict,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_convert_timestamp_list,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_convert_timestamp_field_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,convert_timestamp_to_datetime,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,convert_bytes_to_base64,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_decode_base64_string,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_get_nested_base64_model_fields,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_convert_base64_list,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_convert_base64_field_value,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_convert_base64_dict,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,convert_base64_to_bytes,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,convert_vector_to_bytes,4,9,5,9,13,14,36.5293,51.8062,2.0,103.6123,5.7562,0.0173
aredis_om/model/model.py,funcao,convert_bytes_to_vector,5,9,5,9,14,14,40.139,53.303,2.5,133.2574,7.4032,0.0178
aredis_om/model/model.py,funcao,convert_empty_strings_to_none,5,13,7,13,18,20,59.7154,83.3985,2.5,208.4963,11.5831,0.0278
aredis_om/model/model.py,funcao,__init__,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,__getattribute__,4,12,8,14,16,22,51.0196,88.0,2.3333,205.3333,11.4074,0.0293
aredis_om/model/model.py,funcao,__getattr__,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,_extract_nested_value,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,__setattr__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,__repr__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,get_outer_type,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,embedded,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,is_supported_container_type,2,11,8,18,13,26,40.0537,96.2114,1.6364,157.4369,8.7465,0.0321
aredis_om/model/model.py,funcao,validate_model_fields,4,7,5,8,11,13,27.6515,44.9726,2.2857,102.7945,5.7108,0.015
aredis_om/model/model.py,funcao,decode_redis_value,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,remove_prefix,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,verify_pipeline_response,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,__invert__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__and__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,__or__,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,left,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,right,0,0,0,0,0,0,0,0,0,0,0,0
