arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
aredis_om/cli/__init__.py,1,0,0,1,0,0,1
aredis_om/model/cli/__init__.py,0,0,0,0,0,0,0
aredis_om/async_redis.py,1,1,1,0,0,0,0
aredis_om/sync_redis.py,1,1,1,0,0,0,0
aredis_om/model/migrations/utils/__init__.py,9,2,1,1,5,2,1
aredis_om/settings.py,6,3,3,1,0,2,1
aredis_om/model/migrations/data/__init__.py,12,4,3,0,5,4,0
aredis_om/model/migrations/data/builtin/__init__.py,15,3,6,0,5,4,0
aredis_om/connections.py,20,10,10,3,0,7,3
aredis_om/model/__init__.py,11,2,11,0,0,0,0
aredis_om/cli/main.py,26,15,13,1,3,8,2
aredis_om/model/token_escaper.py,25,15,14,2,3,6,2
aredis_om/model/migrations/schema/__init__.py,27,5,15,3,7,5,0
aredis_om/checks.py,27,20,20,0,0,7,0
aredis_om/model/migrations/schema/base.py,43,23,20,0,8,12,3
aredis_om/util.py,39,25,23,0,3,12,1
aredis_om/model/query_resolver.py,104,29,23,4,43,33,5
aredis_om/model/migrations/__init__.py,35,4,23,3,7,5,0
aredis_om/__init__.py,49,9,45,3,0,3,1
aredis_om/model/types.py,138,52,60,6,43,30,5
aredis_om/model/render_tree.py,89,46,61,2,10,18,0
aredis_om/model/migrations/data/base.py,146,86,89,2,19,30,8
aredis_om/model/cli/index.py,174,109,105,4,22,44,3
aredis_om/redisvl.py,253,102,134,7,61,50,8
aredis_om/model/migrations/schema/legacy_migrator.py,264,147,174,11,24,56,10
aredis_om/model/encoders.py,311,104,253,4,20,37,1
aredis_om/model/cli/migrate.py,336,197,260,4,8,57,11
aredis_om/model/migrations/schema/migrator.py,351,201,279,12,21,42,9
aredis_om/model/migrations/data/migrator.py,604,300,399,28,63,115,27
aredis_om/model/cli/migrate_data.py,570,328,430,21,5,105,30
aredis_om/model/migrations/data/builtin/datetime_migration.py,972,514,668,75,40,170,94
aredis_om/model/model.py,4490,2467,3190,339,224,711,365
TOTAL,9149,4824,6334,537,649,1575,591
