arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/async_redis.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/settings.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/sync_redis.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/cli/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/token_escaper.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/cli/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/data/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/data/builtin/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/schema/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/migrations/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/util.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/query_resolver.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/connections.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/cli/main.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/migrations/schema/base.py,arquivo,,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/checks.py,arquivo,,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
aredis_om/model/cli/index.py,arquivo,,4,18,13,19,22,32,83.0587,142.7018,2.1111,301.2594,16.7366,0.0476
aredis_om/model/types.py,arquivo,,6,19,13,21,25,34,96.2204,157.8911,3.3158,523.5337,29.0852,0.0526
aredis_om/redisvl.py,arquivo,,5,28,16,31,33,47,146.2156,237.0865,2.7679,656.2216,36.4568,0.079
aredis_om/model/migrations/schema/legacy_migrator.py,arquivo,,9,18,11,21,27,32,103.588,152.1564,5.25,798.8211,44.379,0.0507
aredis_om/model/render_tree.py,arquivo,,6,11,13,26,17,39,53.5635,159.4111,7.0909,1130.3693,62.7983,0.0531
aredis_om/model/migrations/data/base.py,arquivo,,7,27,18,35,34,53,148.0334,269.6355,4.537,1223.3464,67.9637,0.0899
aredis_om/model/cli/migrate.py,arquivo,,5,49,36,53,54,89,286.7304,512.185,2.7041,1384.99,76.9439,0.1707
aredis_om/model/encoders.py,arquivo,,7,39,25,47,46,72,225.7822,397.6965,4.2179,1677.4633,93.1924,0.1326
aredis_om/model/migrations/schema/migrator.py,arquivo,,8,43,25,47,51,72,257.3294,408.4146,4.3721,1785.6267,99.2015,0.1361
aredis_om/model/cli/migrate_data.py,arquivo,,7,52,37,55,59,92,316.0743,541.2032,3.7019,2003.4925,111.3051,0.1804
aredis_om/model/migrations/data/migrator.py,arquivo,,12,59,36,67,71,103,390.0955,633.424,6.8136,4315.8717,239.7706,0.2111
aredis_om/model/migrations/data/builtin/datetime_migration.py,arquivo,,17,134,88,164,151,252,1016.3428,1824.078,10.403,18975.8561,1054.2142,0.608
aredis_om/model/model.py,arquivo,,18,617,438,832,635,1270,5794.1098,11824.4782,12.1361,143503.5543,7972.4197,3.9415
