arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
aredis_om/cli/__init__.py,1,0,0,1,0,0,1
aredis_om/model/cli/__init__.py,0,0,0,0,0,0,0
aredis_om/async_redis.py,1,1,1,0,0,0,0
aredis_om/sync_redis.py,1,1,1,0,0,0,0
aredis_om/model/migrations/utils/__init__.py,9,2,1,1,5,2,1
aredis_om/settings.py,6,3,3,1,0,2,1
aredis_om/model/migrations/data/__init__.py,12,4,3,0,5,4,0
aredis_om/model/migrations/data/builtin/__init__.py,15,3,6,0,5,4,0
aredis_om/connections.py,20,10,10,3,0,7,3
aredis_om/model/__init__.py,11,2,11,0,0,0,0
aredis_om/cli/main.py,26,15,13,1,3,8,2
aredis_om/model/token_escaper.py,25,15,14,2,3,6,2
aredis_om/model/migrations/schema/__init__.py,27,5,15,3,7,5,0
aredis_om/checks.py,27,20,20,0,0,7,0
aredis_om/model/migrations/schema/base.py,43,23,20,0,8,12,3
aredis_om/util.py,39,25,23,0,3,12,1
aredis_om/model/query_resolver.py,104,29,23,4,43,33,5
aredis_om/model/migrations/__init__.py,35,4,23,3,7,5,0
aredis_om/__init__.py,49,9,45,3,0,3,1
aredis_om/model/render_tree.py,77,41,56,2,10,11,0
aredis_om/model/types.py,138,52,60,6,43,30,5
aredis_om/model/migrations/data/base.py,146,86,89,2,19,30,8
aredis_om/model/cli/index.py,174,109,105,4,22,44,3
aredis_om/redisvl.py,237,101,121,13,61,41,14
aredis_om/model/encoders.py,194,83,150,4,20,23,1
aredis_om/model/migrations/schema/legacy_migrator.py,251,132,165,15,24,49,13
aredis_om/model/cli/migrate.py,336,197,260,4,8,57,11
aredis_om/model/migrations/schema/migrator.py,342,198,271,12,21,41,9
aredis_om/model/migrations/data/migrator.py,538,277,344,28,63,104,27
aredis_om/model/cli/migrate_data.py,570,328,430,21,5,105,30
aredis_om/model/migrations/data/builtin/datetime_migration.py,943,499,638,86,40,165,100
aredis_om/model/model.py,3887,2138,2682,435,224,547,434
TOTAL,8284,4412,5603,654,649,1357,675
